row_nr,anno_label,label
0,"[8, 5, 9, 13, 10, 3, 12, 11, 1, 2, 4, 6, 7, 14]","[8, 5, 9, 13, 10, 12, 1, 2, 11, 4, 7, 3, 6, 14]"
35,"[3, 1, 4, 6, 9, 5, 2, 10, 8, 11, 7]","[3, 1, 4, 6, 9, 5, 11, 2, 10, 8, 7]"
89,"[1, 2, 4, 5, 3]","[1, 3, 2, 4, 5]"
90,"[1, 2, 5, 4, 3]","[1, 2, 5, 4, 3]"
127,"[1, 3, 4, 2]","[1, 3, 4, 2]"
128,"[1, 4, 2, 3]","[1, 4, 2, 3]"
162,"[2, 1, 3]","[2, 1, 3]"
201,"[1, 3, 2, 4]","[1, 3, 2, 4]"
215,"[1, 3, 2]","[1, 3, 2]"
218,"[2, 1, 3, 4]","[1, 3, 2, 4]"
266,"[2, 1, 3]","[2, 1, 3]"
274,"[2, 4, 3, 1]","[2, 4, 3, 1]"
299,"[1, 3, 4, 2]","[1, 3, 4, 2]"
330,"[1, 2, 3, 4]","[1, 3, 2, 4]"
335,"[3, 1, 4, 7, 2, 8, 6, 5]","[3, 1, 8, 6, 4, 5, 2, 7]"
358,"[1, 3, 2]","[1, 3, 2]"
408,"[4, 1, 6, 2, 3, 5]","[4, 1, 6, 2, 3, 5]"
423,"[3, 2, 1, 4]","[3, 2, 4, 1]"
454,"[1, 4, 5, 7, 6, 8, 9, 3, 2]","[9, 3, 6, 8, 2, 5, 7, 4, 1]"
473,"[5, 4, 1, 2, 3]","[5, 2, 3, 4, 1]"
481,"[3, 1, 2]","[2, 3, 1]"
501," [1, 6, 4, 5, 7, 3, 2]","[3, 7, 2, 6, 4, 1, 5]"
505,"[5, 9, 4, 8, 6, 3, 2, 7, 1]","[1, 7, 4, 6, 2, 8, 3, 5, 9]"
563,"[2, 1, 3]","[2, 1, 3]"
618,"[2, 1, 5, 3, 6, 4]","[2, 1, 5, 3, 4, 6]"
621,"[7, 2, 1, 3, 8, 4, 6, 5]","[7, 2, 6, 5, 1, 3, 8, 4]"
666,"[1, 5, 3, 4, 2]","[1, 3, 2, 5, 4]"
669,"[8, 4, 1, 10, 7, 11, 3, 5, 6, 9, 2] ","[10, 3, 7, 4, 11, 6, 9, 2, 5, 1, 8]"
681,"[5, 6, 1, 7, 4, 3, 2]","[5, 6, 1, 7, 2, 4, 3]"
