row_nr,label,sentence_lists
32,"[6, 1, 3, 2, 5, 4, 7, 8]",1. they always had wars with each other about anything that they could. 2. so one day they Trump Donald decided to create the McDonald tank and send it to king burger. 3. one day they had a war about their favourite fast food place which were king burger and Donald mac. 4. so then king burger decided to make a burger ham mini gun to shoot on Donald mac. 5. when it got to king burger it destroyed all of their French fries. 6. once upon a time a long long time ago there were two Vikings called Biden Joe and Trump Donald. 7. then Donald mac got so angry that they made a flurry mac bomb and shot it on burger king. 8. then burger king was destroyed and Trump Donald won. 
71,"[3, 2, 1, 4]","1. But the weight of his magnificent train held him down. 2. Lifting his wings he tried to rise from the ground. 3. Presently the Peacock saw an Eagle soaring high up in the blue sky and felt a desire to fly, as he had been accustomed to do. 4. Instead of flying up to greet the first rays of the morning sun or to bathe in the rosy light among the floating clouds at sunset, he would have to walk the ground more encumbered and oppressed than any common barnyard fowl. "
99,"[3, 1, 2]","1. he shouted fiercely. 2. ""You deserve to be punished severely for your rashness!"" 3. ""How dare you paddle around in my stream and stir up all the mud!"" "
103,"[1, 3, 2]","1. Some Cranes saw a farmer plowing a large field. 2. It was their feast, they thought. 3. When the work of plowing was done, they patiently watched him sow the seed. "
162,"[2, 1, 3]","1. It was mounted on an Ass adorned with garlands and gorgeous trappings, and a grand procession of priests and pages followed it through the streets. 2. A sacred Image was being carried to the temple. 3. As the Ass walked along, the people bowed their heads reverently or fell on their knees, and the Ass thought the honor was being paid to himself. "
187,"[2, 1, 3]","1. All we have to do is to hang a bell about the Cat's neck. 2. ""I have a plan that seems very simple, but I know it will be successful. 3. When we hear the bell ringing we will know immediately that our enemy is coming."" "
258,"[3, 2, 1]","1. Even a contemptible Ass let fly his heels and brayed his insults in the face of the Lion. 2. A Bull trampled him with his heavy hoofs. 3. Now a Boar spied him, and rushing at him, gored him with his yellow tusk. "
272,"[4, 1, 3, 2]","1. As you have guessed, he did not get enough to eat. 2. So he put on a pair of spectacles, and with a leather box in his hand, knocked at the door of the Bird's home. 3. One day he heard that some Birds in the neighborhood were ailing and needed a doctor. 4. A Cat was growing very thin. "
293,"[3, 2, 4, 1]","1. Then we shall soon see to whom the honey really belongs."" 2. If it is not decided soon, the honey will not be fit for anything. 3. ""Your honor,"" he said, ""the case has now been pending for six weeks. 4. I move that the Bees and the Wasps be both instructed to build a honey comb. "
417,"[5, 2, 1, 6, 4, 3]","1. This has been already too much an object for the scorn—for the horror—for the detestation of my race. 2. The fair page now lying before me need not be sullied with my real appellation. 3. to its honors, to its flowers, to its golden aspirations?—and a cloud, dense, dismal, and limitless, does it not hang eternally between thy hopes and heaven? 4. Oh, outcast of all outcasts most abandoned!—to the earth art thou not forever dead? 5. Let me call myself, for the present, William Wilson. 6. To the uttermost regions of the globe have not the indignant winds bruited its unparalleled infamy? "
422,"[4, 5, 2, 3, 7, 6, 1]","1. Oh, gigantic paradox, too utterly monstrous for solution! 2. This prison-like rampart formed the limit of our domain; beyond it we saw but thrice a week—once every Saturday afternoon, when, attended by two ushers, we were permitted to take brief walks in a body through some of the neighbouring fields—and twice during Sunday, when we were paraded in the same formal manner to the morning and evening service in the one church of the village. 3. Of this church the principal of our school was pastor. 4. The house, I have said, was old and irregular. 5. The grounds were extensive, and a high and solid brick wall, topped with a bed of mortar and broken glass, encompassed the whole. 6. This reverend man, with countenance so demurely benign, with robes so glossy and so clerically flowing, with wig so minutely powdered, so rigid and so vast,—-could this be he who, of late, with sour visage, and in snuffy habiliments, administered, ferule in hand, the Draconian laws of the academy? 7. With how deep a spirit of wonder and perplexity was I wont to regard him from our remote pew in the gallery, as, with step solemn and slow, he ascended the pulpit! "
521,"[14, 11, 12, 4, 5, 15, 6, 16, 3, 7, 1, 9, 17, 8, 10, 2, 13]","1. But, if the contest have proceeded thus far, it is the shadow which prevails,—we struggle in vain. 2. We will labor now. 3. The last hour for action is at hand. 4. We glow, we are consumed with eagerness to commence the work, with the anticipation of whose glorious result our whole souls are on fire. 5. It must, it shall be undertaken to-day, and yet we put it off until to-morrow; and why? 6. To-morrow arrives, and with it a more impatient anxiety to do our duty, but with this very increase of anxiety arrives, also, a nameless, a positively fearful, because unfathomable, craving for delay. 7. We tremble with the violence of the conflict within us,—of the definite with the indefinite—of the substance with the shadow. 8. It flies—it disappears—we are free. 9. The clock strikes, and is the knell of our welfare. 10. The old energy returns. 11. We know that it will be ruinous to make delay. 12. The most important crisis of our life calls, trumpet-tongued, for immediate energy and action. 13. Alas, it is too late! 14. We have a task before us which must be speedily performed. 15. There is no answer, except that we feel perverse, using the word with no comprehension of the principle. 16. This craving gathers strength as the moments fly. 17. At the same time, it is the chanticleer-note to the ghost that has so long overawed us. "
592,"[3, 2, 6, 5, 4, 1]","1. Here the vast bed of the waters, seamed and scarred into a thousand conflicting channels, burst suddenly into phrensied convulsion—heaving, boiling, hissing—gyrating in gigantic and innumerable vortices, and all whirling and plunging on to the eastward with a rapidity which water never elsewhere assumes except in precipitous descents. 2. As the old man spoke, I became aware of a loud and gradually increasing sound, like the moaning of a vast herd of buffaloes upon an American prairie; and at the same moment I perceived that what seamen term the chopping character of the ocean beneath us, was rapidly changing into a current which set to the eastward. 3. We had now been about ten minutes upon the top of Helseggen, to which we had ascended from the interior of Lofoden, so that we had caught no glimpse of the sea until it had burst upon us from the summit. 4. In five minutes the whole sea, as far as Vurrgh, was lashed into ungovernable fury; but it was between Moskoe and the coast that the main uproar held its sway. 5. Each moment added to its speed—to its headlong impetuosity. 6. Even while I gazed, this current acquired a monstrous velocity. "
601,"[2, 1, 3]","1. It was on the tenth day of July, 18—, a day which the people of this part of the world will never forget—for it was one in which blew the most terrible hurricane that ever came out of the heavens. 2. “It is now within a few days of three years since what I am going to tell you occurred. 3. And yet all the morning, and indeed until late in the afternoon, there was a gentle and steady breeze from the south-west, while the sun shone brightly, so that the oldest seaman among us could not have foreseen what was to follow. "
628,"[1, 2, 3]","1. In that chamber was I born. 2. Thus awaking from the long night of what seemed, but was not, nonentity, at once into the very regions of fairy land—into a palace of imagination—into the wild dominions of monastic thought and erudition—it is not singular that I gazed around me with a startled and ardent eye—that I loitered away my boyhood in books, and dissipated my youth in reverie; but it is singular that as years rolled away, and the noon of manhood found me still in the mansion of my fathers—it is wonderful what stagnation there fell upon the springs of my life—wonderful how total an inversion took place in the character of my commonest thought. 3. The realities of the world affected me as visions, and as visions only, while the wild ideas of the land of dreams became, in turn, not the material of my every-day existence, but in very deed that existence utterly and solely in itself. "
