row_nr,label,sentence_lists
0,"[8, 5, 9, 13, 10, 12, 1, 2, 11, 4, 7, 3, 6, 14]",1. bows and arrows spears knives tridents and apparently a frying pan. 2. in the blood bath that first day they killed a lot of people themselves but also tried to run out so they wouldn't die themselves. 3. the announcer said that one family can come home alive if they outlast the others. 4. so they decided to climb trees and found a luxurious cave to stay in. 5. and one day they sat on the couch with each other and watched team titans. 6. so they decided to stay in the cave and hoped that Haymitch wouldn't be too drunk to get them sponsors. 7. they got many sponsors because Katniss and Peta were very famous for the capital people. 8. Katniss Everdeen and Peta had two kids and their names were Rye and Willow. 9. but then the tv came on and they saw commander Paylor. 10. and everyone was surprised when she said that the victor's kids would have to go back in the arena again with their parents. 11. it was a forest arena the same one that Katniss and Peta were used to. 12. so then when the day came they went into the arena and when the gong sounded they went and grabbed all supplies they needed. 13. and she announced that there was going to be a seventy sixth hunger games. 14. and in the end they won. 
15,"[24, 22, 12, 1, 9, 5, 14, 27, 10, 18, 17, 28, 13, 16, 15, 19, 23, 29, 11, 30, 21, 8, 6, 26, 31, 3, 25, 7, 20, 2, 4]","1. that's why he was really hurt. 2. so they both turned into crumbs and ran away. 3. so basically there was this awkward silence for around 2 hours. 4. the end. 5. but as soon as he escaped he hit a tree and became a ball. 6. because he left him when he was around zero months old. 7. okay and so since it's been thirteen years the mom didn't recognize him. 8. so what happened is that he turned into a crumb and he saw that his dad came back. 9. but he managed to escape. 10. then his ehm Violette and his mom came back. 11. so then in January two thousand million twenty three they decided to escape. 12. his mom and sister were in Hawaii without him. 13. and they're like can we have  that ball back? 14. so what happened is that he started rolling around and he became a football
he came to a football pitch and they started playing soccer with him. 15. and so she got really mad and kicked them. 16. and they're like no we are playing with it stop you old mother with no husband. 17. so they start searching for him. 18. and they saw the dungeon that exploded and he wasn't there. 19. and she managed to get the ball back and he she put them back in the dungeon. 20. so he said hey that's my child because I know he can turn into a crumb like me. 21. he could turn into a crumb whenever he wanted. 22. So since this Bob was locked up for years with only little food he managed to get a fire and make the dungeon explode. 23. she and Violette. 24. I'm gonna tell don't eat the cookie part two. 25. and the only sound that you could hear was who are you? 26. so what happened is that he saw his dad and it was like really awkward. 27. the only sounds that were heard were ow*n ow*n ow*n ow*n ow*n for around an hour or two. 28. then they heard his voice ouch*n ouch*n ouch*n ouch*n.
so then they came to the football pitch. 29. because Violette was starting to play football too. 30. he knew that he could turn into a crumb because he had the crumbtenitus. 31. because he just came into the door and her mom did this weird smile like. "
27,"[1, 7, 4, 5, 3, 2, 6]",1. once upon a time there was a girl and she lived in Hawaii. 2. but she never came back. 3. and then a big wave came and she found it so much fun and then she swam. 4. once her father was sick. 5. she thought this was the time and she took a boat out to the sea. 6. the end. 7. and she really liked the water but her father never told her to touch it because he thought it was dangerous. 
46,"[7, 5, 6, 9, 2, 4, 8, 1, 3]",1. and they lived happily ever after. 2. it's broke because a bad person cut it off with some scissors. 3. the end. 4. then the cowboy said I will make a new wing for you. 5. and the when a poor person came he saw that it didn't have food the cowboy always gave some food. 6. the next day he found a fairy with a broken wing. 7. once upon a time there was a cowboy who always shared money with other people. 8. then the fairy said thank you. 9. then he asked what's happened to your wing? 
48,"[10, 7, 8, 4, 5, 9, 3, 6, 2, 1]",1. so Eli helped the person who helped Eli. 2. and then one day the person who helped Eli was in a big cage. 3. so then Eli helped the person to be able to fly and have magical powers. 4. she didn't have any food so one time she went to a person that lived on a farm. 5. and that person helped her to be not poor anymore. 6. so one day when Eli went into a forest she saw the girl that helped her and they were friends. 7. her name was Eli. 8. but she was super poor. 9. and the person gave her food. 10. once upon a time there was a girl who was a super kind. 
63,"[15, 7, 1, 2, 6, 12, 8, 5, 11, 14, 9, 13, 3, 4, 10, 16]",1. this man child went on an exhibition to find a new land. 2. and then he walked around he went to strange land that was a peninsula. 3. so when they so then other people went and never came back. 4. but then our hero he decided to go again and he saw what happened. 5. and then he went into the cave and then he saw a luscious world growing in there with beings that had strange elemental powers. 6. this peninsula had many islands some submerged under the water some above the water. 7. there was once someone that was roughly maybe ten fifteen between those ages I'm not sure the story has a from time to time changed. 8. and he so he dived down into the island and he saw a deep dark cave which had air in it. 9. and then when he brought it to the other world everyone was amazed. 10. all the animals that were there decided to fight against the people the humans. 11. so and then he tried to confront one of them. 12. so he travelled to every one of them except one the submerged one. 13. but so then loads of other people went but they never came back. 14. some of them were friendly so then he he stayed the night there and then he kidnapped one of them to bring to the other world. 15. my story is the dangers of the monsters. 16. the end. 
90,"[1, 2, 5, 4, 3]","1. A little hungry Mouse found his way one day into a basket of corn. 2. He had to squeeze himself a good deal to get through the narrow opening between the strips of the basket. 3. Indeed he became about three times as big around the middle as he was when he went in. 4. When at last he had succeeded, he gorged himself to bursting. 5. But the corn was tempting and the Mouse was determined to get in. "
105,"[3, 2, 1, 4]","1. They did not even hear the noise of stones whizzing through the air, and as for words,[Pg 65] they would kill nobody. 2. But they soon began to see that none of them ever got hurt. 3. At first the Cranes flew away in great terror. 4. At last they paid no attention whatever to the Farmer. "
129,"[3, 2, 1, 4]","1. But he wants my bacon! 2. ""When he catches you he is only after your wool. 3. ""That is all very well,"" replied the Pig, with a squeal and a frantic kick. 4. gree-ee-ee!"" "
162,"[2, 1, 3]","1. It was mounted on an Ass adorned with garlands and gorgeous trappings, and a grand procession of priests and pages followed it through the streets. 2. A sacred Image was being carried to the temple. 3. As the Ass walked along, the people bowed their heads reverently or fell on their knees, and the Ass thought the honor was being paid to himself. "
175,"[3, 2, 1]","1. So he began to edge toward the Dog, while the Dog backed away. 2. It happened to be a very lean and bony Dog, and Master Wolf would have turned up his nose at such meager fare had he not been more hungry than usual. 3. A Wolf prowling near a village one evening met a Dog. "
195,"[2, 3, 1]",1. He was not able to impress anyone. 2. There was once a Dog who was so ill-natured and mischievous that his Master had to fasten a heavy wooden clog about his neck to keep him from annoying visitors and neighbors. 3. But the Dog seemed to be very proud of the clog and dragged it about noisily as if he wished to attract everybody's attention. 
201,"[1, 3, 2, 4]","1. A Wild Boar was sharpening his tusks busily against the stump of a tree, when a Fox happened by. 2. So he made a great show of looking anxiously about, as if in fear of some hidden enemy. 3. Now the Fox was always looking for a chance to make fun of his neighbors. 4. But the Boar kept right on with his work. "
204,"[3, 1, 4, 2]","1. they said. 2. Send them away and you will see what good friends we shall become."" 3. ""Why is there always this hostility between us?"" 4. ""If it were not for those Dogs who are always stirring up trouble, I am sure we should get along beautifully. "
215,"[1, 3, 2]","1. Finding his Master seated at the dinner table, he kicked up his heels and, with a loud bray, pranced giddily around the table, upsetting it as he did so. 2. But his weight upset the chair, and Ass and man rolled over together in the pile of broken dishes from the table. 3. Then he planted his forefeet on his Master's knees and rolled out his tongue to lick the Master's face, as he had seen the Dog do. "
237,"[4, 5, 1, 3, 2]","1. As he stood wringing his hands and weeping, the god Mercury suddenly appeared and asked what the trouble was. 2. When he came up again he held a wonderful golden axe. 3. The Woodman told what had happened, and straightway the kind Mercury dived into the pool. 4. The Woodman was in despair. 5. The axe was all he possessed with which to make a living, and he had not money enough to buy a new one. "
251,"[3, 1, 2]","1. Did you buy it, or did the Shepherd make you a gift of it? 2. Pray tell me, how did you get it?"" 3. ""Your property? "
261,"[2, 3, 1, 4]","1. But they soon saw who he was. 2. Dressed in his borrowed finery he strutted loftily among the birds of his own kind. 3. Then he flew down into the garden among the Peacocks. 4. Angry at the cheat, they flew at him, plucking away the borrowed feathers and also some of his own. "
274,"[2, 4, 3, 1]","1. Delighted to find how much lighter his burden had become, the Ass finished the journey very gayly. 2. A Merchant, driving his Ass homeward from the seashore with a heavy load of salt, came to a river crossed by a shallow ford. 3. And when the Merchant at last got him to his feet, much of the salt had melted away. 4. They had crossed this river many times before without accident, but this time the Ass slipped and fell when halfway over. "
298,"[3, 2, 1]","1. There the first he laid hands on and killed was the Wolf. 2. But it happened that the Shepherd took a fancy for mutton broth that very evening, and, picking up a knife, went to the fold. 3. That evening the Wolf entered the fold with the flock. "
358,"[1, 3, 2]","1. The road, after passing the gate, seemed to lie upon a natural ledge, sloping gradually down along the face of the north-eastern cliffs. 2. In this progress, I took notice that no sight of the out-houses could be obtained. 3. It led me on to the foot of the northern precipice, and thence over the bridge, round by the eastern gable to the front door. "
441,"[1, 2, 3]","1. The huge old house, with its countless subdivisions, had several large chambers communicating with each other, where slept the greater number of the students. 2. There were, however, (as must necessarily happen in a building so awkwardly planned,) many little nooks or recesses, the odds and ends of the structure; and these the economic ingenuity of Dr. Bransby had also fitted up as dormitories; although, being the merest closets, they were capable of accommodating but a single individual. 3. One of these small apartments was occupied by Wilson. "
454,"[9, 3, 6, 8, 2, 5, 7, 4, 1]","1. In this disposition, the dupe who cuts, as customary, at the length of the pack, will invariably find that he cuts his antagonist an honor; while the gambler, cutting at the breadth, will, as certainly, cut nothing for his victim which may count in the records of the game. 2. Most assuredly I had little time given for reflection. 3. In ceasing, he departed at once, and as abruptly as he had entered. 4. In the lining of my sleeve were found all the court cards essential in écarté, and, in the pockets of my wrapper, a number of packs, facsimiles of those used at our sittings, with the single exception that mine were of the species called, technically, arrondees; the honours being slightly convex at the ends, the lower cards slightly convex at the sides. 5. Many hands roughly seized me upon the spot, and lights were immediately reprocured. 6. Can I—shall I describe my sensations? 7. A search ensued. 8. Must I say that I felt all the horrors of the damned? 9. While he spoke, so profound was the stillness that one might have heard a pin drop upon the floor. "
499,"[8, 3, 4, 6, 7, 1, 2, 9, 5]","1. No definition had spoken of the landscape-gardener as of the poet; yet it seemed to my friend that the creation of the landscape-garden offered to the proper Muse the most magnificent of opportunities. 2. Here, indeed, was the fairest field for the display of imagination in the endless combining of forms of novel beauty; the elements to enter into combination being, by a vast superiority, the most glorious which the earth could afford. 3. Under other circumstances than those which invested him, it is not impossible that he would have become a painter. 4. Sculpture, although in its nature rigorously poetical was too limited in its extent and consequences, to have occupied, at any time, much of his attention. 5. And in the direction or concentration of this effort—or, more properly, in its adaptation to the eyes which were to behold it on earth—he perceived that he should be employing the best means—laboring to the greatest advantage—in the fulfilment, not only of his own destiny as poet, but of the august purposes for which the Deity had implanted the poetic sentiment in man. 6. And I have now mentioned all the provinces in which the common understanding of the poetic sentiment has declared it capable of expatiating. 7. But Ellison maintained that the richest, the truest, and most natural, if not altogether the most extensive province, had been unaccountably neglected. 8. Ellison became neither musician nor poet; although no man lived more profoundly enamored of music and poetry. 9. In the multiform and multicolor of the flowers and the trees, he recognised the most direct and energetic efforts of Nature at physical loveliness. "
