row_nr,label,sentence_lists
0,"[8, 5, 9, 13, 10, 12, 1, 2, 11, 4, 7, 3, 6, 14]",1. bows and arrows spears knives tridents and apparently a frying pan. 2. in the blood bath that first day they killed a lot of people themselves but also tried to run out so they wouldn't die themselves. 3. the announcer said that one family can come home alive if they outlast the others. 4. so they decided to climb trees and found a luxurious cave to stay in. 5. and one day they sat on the couch with each other and watched team titans. 6. so they decided to stay in the cave and hoped that Haymitch wouldn't be too drunk to get them sponsors. 7. they got many sponsors because Katniss and Peta were very famous for the capital people. 8. Katniss Everdeen and Peta had two kids and their names were Rye and Willow. 9. but then the tv came on and they saw commander Paylor. 10. and everyone was surprised when she said that the victor's kids would have to go back in the arena again with their parents. 11. it was a forest arena the same one that Katniss and Peta were used to. 12. so then when the day came they went into the arena and when the gong sounded they went and grabbed all supplies they needed. 13. and she announced that there was going to be a seventy sixth hunger games. 14. and in the end they won. 
5,"[15, 51, 45, 16, 63, 20, 50, 38, 30, 10, 26, 4, 64, 61, 48, 29, 1, 11, 46, 52, 56, 17, 37, 43, 2, 5, 34, 3, 60, 7, 28, 36, 23, 42, 18, 35, 6, 44, 32, 55, 19, 25, 33, 8, 53, 9, 39, 13, 27, 24, 31, 57, 40, 14, 12, 22, 21, 59, 62, 58, 41, 54, 47, 49]","1. and then Harry said who are you? 2. and then Hagrid said oh hello come on Harry you need to go to Hogwarts school. 3. I am a what? 4. then there was a loud crash. 5. and then Harry said what what's Hogwarts? 6. well no. 7. I think you are mistaken. 8. and then Harry put it down and said. 9. and then Harry said yes
and then uncle Vernon and aunt Petunia came down. 10. so then he drew a cake in the dust. 11. and then Hagrid said oh yeah I haven't introduced myself I am Hagrid Hagrid. 12. and then and then Hagrid said oh yeah I'm going to give you the letter. 13. and then and then he said well fine I'll put the fire on. 14. and then Harry had one sausage. 15. I'm going to continue the story. 16. and then Harry was asleep. 17. and then Hagrid said well hello Harry. 18. it was written in the letter. 19. Harry opened it. 20. so then it was almost midnight and then at midnight it was Harry's birthday now. 21. it said dear Harry you are a wizard. 22. Harry got the letter and then opened it. 23. haven't you gotten your letter? 24. and Hagrid said no need. 25. it was a cake. 26. and then three two one it was his. 27. no need. 28. I'm not. 29. and then Harry saw that there was a ginormous man right in front of him. 30. so then it was almost midnight one minute and it and it was his birthday. 31. and then he went to the fire and he took out a pink umbrella and then pointed it at the fire and said some kind of spell under his breath. 32. and then and then Hagrid said oh I've got something for you. 33. and then Hagrid said it's just for you. 34. and then Hagrid said didn't you know you are a wizard? 35. wait your aunt and uncle haven't been letting you have those letters? 36. you are a wizard. 37. and he said it to Dudley and then Dudley said I am not Harry. 38. but no hold on. 39. and then said how dare you? 40. and then the fire went on. 41. and then Hagrid said he is the headmaster of the school Hogwarts. 42. oh the letter. 43. and then Harry stepped out from behind the wall and then said I am Harry. 44. and then Hagrid said how dare them. 45. so then they went to the house. 46. I forgot his back name. 47. and then. 48. and suddenly he said sorry about that and he closed the door. 49. to be continued. 50. and then Harry was eleven. 51. so then uncle Vernon had planned that they were going to get a new house which was far in the sea. 52. and then he said I am Rubius Hagrid. 53. and then Hagrid said do you want to roll some sausages? 54. and Harry said really? 55. he looked in his jacket and then took out a box. 56. and then Harry said and what are you doing here? 57. and then the fire suddenly something red shot from his umbrella and then went into the fire. 58. and then Harry said who is Dumbledore? 59. you are going to Hogwarts school of witchcraft and wizardry. 60. a wizard. 61. then some kind of big shadowy figure which was ginormous stepped into the room. 62. and then Harry says yours sincerely Dumbledore. 63. but then the day that were there. 64. and then the door went went fell to the floor off its off its hinges. "
35,"[3, 1, 4, 6, 9, 5, 11, 2, 10, 8, 7]",1. and she had long long hair and very beautiful. 2. but when she touched the clouds she felt wet because the clouds were very full of water. 3. once upon a time there was a beautiful girl called Mildred. 4. and then she went out to get a walk into the city. 5. and he gave her magical powers to fly. 6. and then she found someone shouting for help because he was stuck in a big big cage. 7. and they lived happily ever after. 8. but then one who she rescued helped her. 9. and she rescued him. 10. and they made her wings very very wet and heavy so she couldn't fly anymore and she fell. 11. and then when she could fly she could rescue anybody. 
89,"[1, 3, 2, 4, 5]",1. There was once a baby show among the Animals in the forest. 2. Of course all the proud mammas from far and near brought their babies. 3. Jupiter provided the prize. 4. But none got there earlier than Mother Monkey. 5. Proudly she presented her baby among the other contestants. 
90,"[1, 2, 5, 4, 3]","1. A little hungry Mouse found his way one day into a basket of corn. 2. He had to squeeze himself a good deal to get through the narrow opening between the strips of the basket. 3. Indeed he became about three times as big around the middle as he was when he went in. 4. When at last he had succeeded, he gorged himself to bursting. 5. But the corn was tempting and the Mouse was determined to get in. "
127,"[1, 3, 4, 2]","1. One day a shepherd discovered a fat Pig in the meadow where his Sheep were pastured. 2. But in spite of its squeals and struggles to escape, the Shepherd tucked his prize under his arm and started off to the butcher's in the market place. 3. He very quickly captured the porker, which squealed at the top of its voice the moment the Shepherd laid his hands on it. 4. You would have thought, to hear the loud squealing, that the Pig was being cruelly hurt. "
128,"[1, 4, 2, 3]","1. ""What makes you squeal like that?"" 2. ""The Shepherd often catches and carries off one of us. 3. But we should feel very much ashamed to make such a terrible fuss about it like you do."" 4. asked one of the Sheep. "
162,"[2, 1, 3]","1. It was mounted on an Ass adorned with garlands and gorgeous trappings, and a grand procession of priests and pages followed it through the streets. 2. A sacred Image was being carried to the temple. 3. As the Ass walked along, the people bowed their heads reverently or fell on their knees, and the Ass thought the honor was being paid to himself. "
201,"[1, 3, 2, 4]","1. A Wild Boar was sharpening his tusks busily against the stump of a tree, when a Fox happened by. 2. So he made a great show of looking anxiously about, as if in fear of some hidden enemy. 3. Now the Fox was always looking for a chance to make fun of his neighbors. 4. But the Boar kept right on with his work. "
215,"[1, 3, 2]","1. Finding his Master seated at the dinner table, he kicked up his heels and, with a loud bray, pranced giddily around the table, upsetting it as he did so. 2. But his weight upset the chair, and Ass and man rolled over together in the pile of broken dishes from the table. 3. Then he planted his forefeet on his Master's knees and rolled out his tongue to lick the Master's face, as he had seen the Dog do. "
